ID,Age,Region,Income,Spending,Town
1,80,Rural,41234,176,Forest Hollow
2,63,Urban,92689,4847,Stonebridge
3,80,Rural,42564,793,Cedar Valley
4,20,Rural,33606,464,Cedar Valley
5,46,Rural,22115,58,Cedar Valley
6,52,Urban,49622,3264,Maple Heights
7,56,Urban,96951,3123,Stonebridge
8,35,Urban,108610,5852,Maple Heights
9,37,Urban,91433,4124,Stonebridge
10,60,Rural,31879,60,Meadowtown
11,77,Urban,60935,5300,Riverfall
12,75,Urban,68576,3012,Riverfall
13,40,Urban,163582,5933,Grassville
14,51,Urban,70477,3032,Brighton
15,50,Rural,30834,623,Pineville
16,67,Urban,164181,5873,Grassville
17,80,Urban,83861,2997,Stonebridge
18,65,Urban,76676,1145,Brighton
19,27,Urban,72717,877,Hilltop
20,50,Urban,77708,2255,Silverlake
21,64,Rural,30496,90,Cedar Valley
22,50,Urban,80981,5041,Brookfield
23,65,Urban,107196,2468,Hilltop
24,43,Rural,31067,602,Willowbrook
25,37,Urban,144872,1809,Grassville
26,32,Urban,77328,3773,Brookfield
27,79,Urban,88455,3883,Silverlake
28,54,Urban,64472,3803,Silverlake
29,50,Urban,55187,4317,Maple Heights
30,34,Urban,137756,1469,Grassville
31,22,Rural,25918,69,Meadowtown
32,67,Urban,84787,2471,Brighton
33,73,Urban,73318,1100,Riverfall
34,21,Urban,60043,3650,Hilltop
35,20,Urban,57806,906,Sunset City
36,38,Rural,28926,464,Cedar Valley
37,57,Urban,92769,8099,Maple Heights
38,20,Rural,31978,1425,Willowbrook
39,38,Urban,155044,2654,Grassville
40,65,Urban,53712,2235,Brighton
41,74,Urban,63519,2072,Brighton
42,79,Rural,21234,2471,Cedar Valley
43,66,Urban,61626,7960,Silverlake
44,25,Urban,59965,1504,Silverlake
45,59,Urban,96956,3010,Maple Heights
46,53,Rural,35004,145,Forest Hollow
47,78,Urban,63852,5054,Silverlake
48,46,Rural,33373,35,Forest Hollow
49,70,Urban,97038,3221,Lakeside
50,56,Urban,70931,530,Sunset City
51,51,Urban,165845,2788,Grassville
52,39,Urban,88428,1332,Silverlake
53,72,Urban,81242,5518,Brookfield
54,48,Urban,72266,337,Silverlake
55,45,Rural,34785,1032,Pineville
56,52,Urban,57937,1500,Lakeside
57,51,Rural,34141,159,Forest Hollow
58,30,Urban,74062,2949,Silverlake
59,58,Urban,96230,3345,Sunset City
60,21,Urban,79837,8569,Brighton
61,60,Rural,35131,1114,Cedar Valley
62,23,Urban,47241,1008,Lakeside
63,18,Urban,78044,5935,Sunset City
64,29,Urban,67530,481,Brighton
65,52,Urban,82916,2490,Lakeside
66,76,Rural,33570,106,Cedar Valley
67,28,Urban,63917,3017,Brookfield
68,40,Rural,24084,337,Willowbrook
69,31,Urban,82968,3485,Maple Heights
70,36,Rural,40283,391,Pineville
71,54,Rural,30746,433,Cedar Valley
72,33,Rural,24071,91,Willowbrook
73,61,Urban,63873,4876,Lakeside
74,45,Rural,31367,342,Cedar Valley
75,79,Rural,21976,92,Pineville
76,62,Urban,87178,272,Lakeside
77,48,Rural,35446,869,Pineville
78,70,Rural,26469,231,Willowbrook
79,24,Urban,79438,1770,Brookfield
80,63,Urban,71370,1719,Lakeside
81,69,Rural,28473,753,Meadowtown
82,44,Urban,78970,1577,Riverfall
83,34,Urban,72432,5815,Stonebridge
84,24,Urban,137527,2147,Grassville
85,32,Urban,48400,2707,Stonebridge
86,70,Urban,173955,2591,Grassville
87,57,Urban,63378,1496,Lakeside
88,29,Urban,60307,4439,Sunset City
89,72,Urban,145661,8022,Grassville
90,25,Urban,77759,5965,Brighton
91,19,Urban,88031,1827,Sunset City
92,61,Urban,88219,3664,Riverfall
93,76,Rural,36885,312,Forest Hollow
94,55,Rural,41743,368,Cedar Valley
95,73,Rural,37797,1389,Meadowtown
96,43,Rural,39776,426,Meadowtown
97,68,Urban,101509,1281,Sunset City
98,38,Urban,69895,2521,Silverlake
99,74,Urban,76142,4989,Hilltop
100,67,Urban,70946,4599,Riverfall
101,30,Urban,78273,672,Brookfield
102,36,Urban,59628,10499,Brighton
103,35,Urban,62130,1940,Maple Heights
104,19,Urban,164825,3105,Grassville
105,69,Urban,65700,1604,Sunset City
106,62,Rural,38450,514,Willowbrook
107,71,Urban,88646,4999,Riverfall
108,59,Urban,74795,3799,Brookfield
109,66,Urban,71232,3912,Brookfield
110,74,Rural,31306,128,Cedar Valley
111,45,Rural,34616,139,Forest Hollow
112,67,Urban,82204,1150,Brookfield
113,40,Rural,31901,154,Pineville
114,21,Rural,34833,31,Meadowtown
115,21,Urban,81678,5890,Riverfall
116,29,Rural,32633,411,Pineville
117,39,Rural,35802,284,Cedar Valley
118,43,Urban,60433,4282,Riverfall
119,57,Urban,70377,4050,Hilltop
120,59,Urban,90276,2511,Silverlake
121,52,Urban,88730,4444,Stonebridge
122,21,Urban,90586,3879,Brookfield
123,29,Urban,73168,3260,Silverlake
124,21,Urban,81184,4070,Brighton
125,69,Urban,59518,4337,Sunset City
126,74,Rural,34234,1363,Cedar Valley
127,48,Urban,70325,3509,Stonebridge
128,24,Urban,84528,2442,Maple Heights
129,27,Urban,152751,9726,Grassville
130,41,Rural,33737,139,Meadowtown
131,32,Urban,72582,6553,Brookfield
132,56,Urban,78755,3435,Lakeside
133,37,Urban,158768,8906,Grassville
134,75,Rural,37400,3,Forest Hollow
135,24,Rural,38127,34,Meadowtown
136,30,Urban,56944,6781,Sunset City
137,72,Urban,63491,1868,Lakeside
138,45,Urban,64436,5807,Maple Heights
139,56,Rural,30431,683,Forest Hollow
140,35,Rural,36734,356,Willowbrook
141,79,Urban,47250,1948,Maple Heights
142,64,Urban,70399,2221,Riverfall
143,28,Urban,55562,5937,Sunset City
144,53,Urban,74214,1434,Brookfield
145,70,Urban,82269,2618,Riverfall
146,53,Rural,30613,2740,Pineville
147,19,Rural,33850,26,Meadowtown
148,65,Urban,69934,14799,Lakeside
149,63,Urban,79670,7233,Brighton
150,34,Urban,66292,9865,Brighton
151,23,Rural,29530,581,Cedar Valley
152,58,Rural,26170,178,Meadowtown
153,63,Urban,105211,1076,Maple Heights
154,40,Rural,28385,701,Pineville
155,64,Urban,85124,9053,Stonebridge
156,33,Urban,41662,4408,Sunset City
157,77,Urban,54808,1671,Lakeside
158,58,Rural,43509,580,Cedar Valley
159,43,Urban,67544,922,Hilltop
160,63,Urban,81633,2359,Sunset City
161,67,Urban,63275,5289,Silverlake
162,18,Rural,27286,109,Cedar Valley
163,53,Urban,92442,719,Hilltop
164,47,Urban,56661,10371,Sunset City
165,19,Rural,31884,2050,Willowbrook
166,37,Urban,52099,3716,Sunset City
167,22,Urban,80141,6258,Brighton
168,48,Urban,52291,694,Hilltop
169,25,Rural,32984,281,Forest Hollow
170,47,Urban,78168,3020,Sunset City
171,56,Rural,26267,288,Pineville
172,78,Urban,79863,2184,Brookfield
173,19,Rural,30078,4,Willowbrook
