ID,Age,Region,Income,Spending,Town
415,23,Urban,81996,9566,Maple Heights
463,24,Urban,76858,7893,Hilltop
179,69,Rural,27101,657,Meadowtown
526,19,Urban,157869,3808,Grassville
195,70,Rural,33078,385,Pineville
938,76,Urban,63555,2165,Lakeside
818,79,Urban,74862,1138,Maple Heights
118,43,Urban,60433,4282,Riverfall
299,41,Urban,66295,272,Stonebridge
229,64,Rural,30581,353,Pineville
244,72,Urban,56515,2065,Lakeside
14,51,Urban,70477,3032,Brighton
374,22,Rural,29598,772,Forest Hollow
665,65,Urban,80772,1618,Maple Heights
602,45,Rural,36543,522,Cedar Valley
603,60,Rural,30924,679,Meadowtown
768,76,Rural,28113,795,Pineville
709,79,Urban,64567,1064,Lakeside
91,19,Urban,88031,1827,Sunset City
953,55,Rural,35878,124,Forest Hollow
348,79,Urban,58851,8389,Lakeside
649,68,Urban,75867,496,Brookfield
355,41,Rural,25031,409,Pineville
840,71,Urban,86018,1853,Stonebridge
26,32,Urban,77328,3773,Brookfield
519,25,Urban,44799,2275,Lakeside
426,47,Urban,46208,4130,Riverfall
979,40,Urban,61753,5466,Brookfield
766,56,Urban,72171,5027,Hilltop
211,43,Urban,69063,6474,Stonebridge
932,63,Rural,48491,17,Meadowtown
590,20,Urban,59150,385,Maple Heights
593,75,Urban,54406,3418,Brookfield
555,72,Urban,45361,3041,Riverfall
871,66,Rural,49021,353,Meadowtown
373,71,Rural,35280,722,Forest Hollow
844,41,Rural,35215,2207,Meadowtown
143,28,Urban,55562,5937,Sunset City
544,18,Urban,53576,1182,Hilltop
490,20,Urban,68102,902,Silverlake
621,57,Urban,133833,5033,Grassville
775,18,Urban,39566,6018,Brookfield
905,56,Rural,33821,322,Willowbrook
937,63,Urban,59812,4798,Maple Heights
842,30,Urban,83650,10992,Brighton
23,65,Urban,107196,2468,Hilltop
923,55,Urban,72852,2325,Lakeside
309,76,Urban,83947,4476,Hilltop
135,24,Rural,38127,34,Meadowtown
821,27,Rural,28640,252,Pineville
