ID,Age,Region,Income,Spending,Town
638,47,Rural,43135,216,Pineville
48,46,Rural,33373,35,Forest Hollow
688,64,Rural,40140,2326,Willowbrook
976,51,Rural,34658,120,Meadowtown
374,22,Rural,29598,772,Forest Hollow
950,25,Rural,29706,186,Willowbrook
769,26,Rural,30168,76,Willowbrook
809,48,Rural,36654,1977,Cedar Valley
991,40,Rural,29637,28,Forest Hollow
545,43,Rural,27013,178,Willowbrook
272,72,Rural,36618,906,Cedar Valley
273,66,Rural,28839,133,Willowbrook
846,48,Rural,32280,83,Willowbrook
691,60,Rural,42316,265,Pineville
970,19,Rural,31438,119,Pineville
438,46,Rural,32781,11,Cedar Valley
78,70,Rural,26469,231,Willowbrook
21,64,Rural,30496,90,Cedar Valley
942,64,Rural,46758,338,Willowbrook
844,41,Rural,35215,2207,Meadowtown
721,32,Rural,25740,1282,Willowbrook
241,36,Rural,32422,54,Pineville
250,29,Rural,28317,265,Pineville
139,56,Rural,30431,683,Forest Hollow
481,55,Rural,27796,1122,Forest Hollow
776,38,Urban,83553,3757,Riverfall
680,70,Urban,70682,2571,Brookfield
899,38,Urban,32419,4668,Silverlake
32,67,Urban,84787,2471,Brighton
449,56,Urban,55450,3624,Hilltop
201,32,Urban,66350,5201,Brookfield
328,56,Urban,142895,956,Grassville
245,73,Urban,80044,5400,Brighton
318,21,Urban,91777,10104,Maple Heights
422,71,Urban,80253,915,Sunset City
830,25,Urban,63578,3759,Brookfield
103,35,Urban,62130,1940,Maple Heights
840,71,Urban,86018,1853,Stonebridge
820,47,Urban,145437,1142,Grassville
208,28,Urban,66998,3090,Maple Heights
224,41,Urban,65901,13715,Riverfall
426,47,Urban,46208,4130,Riverfall
404,25,Urban,65954,1513,Brighton
644,50,Urban,79815,4140,Hilltop
56,52,Urban,57937,1500,Lakeside
595,26,Urban,76802,4567,Brighton
129,27,Urban,152751,9726,Grassville
457,59,Urban,65837,745,Lakeside
327,46,Urban,92484,2256,Stonebridge
749,24,Urban,75353,5338,Stonebridge
